volts, angle
0.00, 0.26
0.01, 0.53
0.01, 0.79
0.02, 1.06
0.02, 1.32
0.03, 1.58
0.03, 1.85
0.04, 2.11
0.04, 2.38
0.05, 2.64
0.05, 2.90
0.06, 3.17
0.06, 3.43
0.07, 3.70
0.07, 3.96
0.08, 4.22
0.08, 4.49
0.09, 4.75
0.09, 5.01
0.10, 5.28
0.10, 5.54
0.11, 5.81
0.11, 6.07
0.11, 6.33
0.12, 6.60
0.12, 6.86
0.13, 7.13
0.13, 7.39
0.14, 7.65
0.14, 7.92
0.15, 8.18
0.15, 8.45
0.16, 8.71
0.16, 8.97
0.17, 9.24
0.17, 9.50
0.18, 9.77
0.18, 10.03
0.19, 10.29
0.19, 10.56
0.20, 10.82
0.20, 11.09
0.21, 11.35
0.21, 11.61
0.22, 11.88
0.22, 12.14
0.23, 12.40
0.23, 12.67
0.23, 12.93
0.24, 13.20
0.24, 13.46
0.25, 13.72
0.25, 13.99
0.26, 14.25
0.26, 14.52
0.27, 14.78
0.27, 15.04
0.28, 15.31
0.28, 15.57
0.29, 15.84
0.29, 16.10
0.30, 16.36
0.30, 16.63
0.31, 16.89
0.31, 17.16
0.32, 17.42
0.32, 17.68
0.33, 17.95
0.33, 18.21
0.34, 18.48
0.34, 18.74
0.34, 19.00
0.35, 19.27
0.35, 19.53
0.36, 19.79
0.36, 20.06
0.37, 20.32
0.37, 20.59
0.38, 20.85
0.38, 21.11
0.39, 21.38
0.39, 21.64
0.40, 21.91
0.40, 22.17
0.41, 22.43
0.41, 22.70
0.42, 22.96
0.42, 23.23
0.43, 23.49
0.43, 23.75
0.44, 24.02
0.44, 24.28
0.45, 24.55
0.45, 24.81
0.46, 25.07
0.46, 25.34
0.46, 25.60
0.47, 25.87
0.47, 26.13
0.48, 26.39
0.48, 26.66
0.49, 26.92
0.49, 27.18
0.50, 27.45
0.50, 27.71
0.51, 27.98
0.51, 28.24
0.52, 28.50
0.52, 28.77
0.53, 29.03
0.53, 29.30
0.54, 29.56
0.54, 29.82
0.55, 30.09
0.55, 30.35
0.56, 30.62
0.56, 30.88
0.57, 31.14
0.57, 31.41
0.57, 31.67
0.58, 31.94
0.58, 32.20
0.59, 32.46
0.59, 32.73
0.60, 32.99
0.60, 33.26
0.61, 33.52
0.61, 33.78
0.62, 34.05
0.62, 34.31
0.63, 34.57
0.63, 34.84
0.64, 35.10
0.64, 35.37
0.65, 35.63
0.65, 35.89
0.66, 36.16
0.66, 36.42
0.67, 36.69
0.67, 36.95
0.68, 37.21
0.68, 37.48
0.68, 37.74
0.69, 38.01
0.69, 38.27
0.70, 38.53
0.70, 38.80
0.71, 39.06
0.71, 39.33
0.72, 39.59
0.72, 39.85
0.73, 40.12
0.73, 40.38
0.74, 40.65
0.74, 40.91
0.75, 41.17
0.75, 41.44
0.76, 41.70
0.76, 41.96
0.77, 42.23
0.77, 42.49
0.78, 42.76
0.78, 43.02
0.79, 43.28
0.79, 43.55
0.80, 43.81
0.80, 44.08
0.80, 44.34
0.81, 44.60
0.81, 44.87
0.82, 45.13
0.82, 45.40
0.83, 45.66
0.83, 45.92
0.84, 46.19
0.84, 46.45
0.85, 46.72
0.85, 46.98
0.86, 47.24
0.86, 47.51
0.87, 47.77
0.87, 48.04
0.88, 48.30
0.88, 48.56
0.89, 48.83
0.89, 49.09
0.90, 49.35
0.90, 49.62
0.91, 49.88
0.91, 50.15
0.91, 50.41
0.92, 50.67
0.92, 50.94
0.93, 51.20
0.93, 51.47
0.94, 51.73
0.94, 51.99
0.95, 52.26
0.95, 52.52
0.96, 52.79
0.96, 53.05
0.97, 53.31
0.97, 53.58
0.98, 53.84
0.98, 54.11
0.99, 54.37
0.99, 54.63
1.00, 54.90
1.00, 55.16
1.01, 55.43
1.01, 55.69
1.02, 55.95
1.02, 56.22
1.03, 56.48
1.03, 56.74
1.03, 57.01
1.04, 57.27
1.04, 57.54
1.05, 57.80
1.05, 58.06
1.06, 58.33
1.06, 58.59
1.07, 58.86
1.07, 59.12
1.08, 59.38
1.08, 59.65
1.09, 59.91
1.09, 60.18
1.10, 60.44
1.10, 60.70
1.11, 60.97
1.11, 61.23
1.12, 61.50
1.12, 61.76
1.13, 62.02
1.13, 62.29
1.14, 62.55
1.14, 62.82
1.14, 63.08
1.15, 63.34
1.15, 63.61
1.16, 63.87
1.16, 64.13
1.17, 64.40
1.17, 64.66
1.18, 64.93
1.18, 65.19
1.19, 65.45
1.19, 65.72
1.20, 65.98
1.20, 66.25
1.21, 66.51
1.21, 66.77
1.22, 67.04
1.22, 67.30
1.23, 67.57
1.23, 67.83
1.24, 68.09
1.24, 68.36
1.25, 68.62
1.25, 68.89
1.25, 69.15
1.26, 69.41
1.26, 69.68
1.27, 69.94
1.27, 70.21
1.28, 70.47
1.28, 70.73
1.29, 71.00
1.29, 71.26
1.30, 71.52
1.30, 71.79
1.31, 72.05
1.31, 72.32
1.32, 72.58
1.32, 72.84
1.33, 73.11
1.33, 73.37
1.34, 73.64
1.34, 73.90
1.35, 74.16
1.35, 74.43
1.36, 74.69
